JD	RV	Error	Observatory	
4257.07180	1.58	0.83	A	
4333.86604	-0.54	1.34	A	
4334.86018	3.40	0.85	A	
4335.85304	8.92	0.80	A	
4336.84663	7.03	0.71	A	
4543.06967	0.10	0.71	A	
4550.11293	-2.14	0.85	A	
4551.09816	-2.56	0.86	A	
4552.14240	-5.26	0.93	A	
4553.10980	-2.94	1.00	A	
4897.20941	-4.86	1.06	A	
4900.19861	-0.16	1.03	A	
4901.16839	0.60	0.80	A	
4902.21654	-4.11	0.99	A	
4904.20346	-1.41	1.53	A	
4905.27335	3.23	0.80	A	
4906.22330	-0.55	0.93	A	
4907.21266	0.28	0.85	A	
4908.21531	7.41	0.75	A	
5013.83842	-0.28	0.61	A	
5015.83950	-1.99	0.68	A	
5017.84841	3.13	0.64	A	
5018.90225	0.90	0.70	A	
5018.95764	4.79	1.09	A	
5019.99765	-0.78	0.73	A	
5020.83414	0.35	0.60	A	
5021.88251	3.15	0.79	A	
5022.89587	3.61	0.74	A	
5023.87589	-0.93	0.89	A	
5029.86175	-0.04	0.59	A	
5030.97802	1.93	0.50	A	
5031.84137	-0.95	0.60	A	
5032.92564	-3.75	0.53	A	
5036.86026	-7.10	0.63	A	
5037.84849	-6.51	0.71	A	
5040.85306	-7.42	1.04	A	
5041.95419	-8.68	0.84	A	
5043.84520	-3.45	0.52	A	
5044.84224	-6.79	0.49	A	
5045.83918	-7.89	0.62	A	
5046.91766	-7.33	0.64	A	
5047.86724	-1.08	0.47	A	
5048.85263	-3.21	0.47	A	
5049.86609	-7.39	0.46	A	
5050.87397	-3.02	0.68	A	
5051.86595	-2.08	0.53	A	
5052.88848	-2.74	0.66	A	
5053.88182	-3.97	0.54	A	
5054.86448	-2.46	0.56	A	
5055.85374	2.20	0.53	A	
5058.89140	-1.51	0.59	A	
3369.16663	1.69	0.73	K	
3425.07667	7.30	0.61	K	
3479.96032	0.46	0.58	K	
3546.78158	2.94	0.44	K	
3547.76796	3.03	0.36	K	
3548.80045	-2.27	0.37	K	
3549.80104	-0.03	0.37	K	
3550.82365	-0.08	0.36	K	
3551.80855	-1.31	0.39	K	
3576.75813	6.56	0.44	K	
3602.72508	5.09	0.49	K	
3754.09220	0.80	0.59	K	
3776.17013	4.08	0.58	K	
3777.08603	1.79	0.56	K	
3806.94545	-1.23	0.58	K	
3926.74769	5.03	0.47	K	
3927.78252	0.49	0.42	K	
3931.82248	-1.03	0.44	K	
4131.14294	-7.91	0.65	K	
4246.81083	0.59	0.73	K	
4247.94552	-2.04	0.72	K	
4248.81966	-4.38	1.05	K	
4250.80828	0.78	1.09	K	
4251.81149	1.78	1.02	K	
4255.75898	7.13	0.77	K	
4277.73265	-2.06	0.51	K	
4278.73377	-5.19	0.86	K	
4279.73075	-0.88	0.83	K	
4280.74026	-0.24	1.00	K	
4285.76472	-6.15	0.63	K	
4294.73843	-5.39	0.51	K	
4304.73624	4.05	0.60	K	
4305.73658	4.59	0.61	K	
4306.80060	3.51	0.59	K	
4307.73485	-2.50	0.48	K	
4308.73551	2.89	0.56	K	
4309.73851	2.20	0.77	K	
4310.73545	-1.05	0.84	K	
4311.73296	2.89	0.84	K	
4312.73423	-0.92	0.53	K	
4313.73496	1.04	0.85	K	
4314.73608	-2.67	0.87	K	
4318.77353	1.92	0.51	K	
4455.16774	-0.98	1.19	K	
4456.15784	4.78	1.06	K	
4465.13890	0.74	1.13	K	
4491.10891	7.68	1.08	K	
4545.03961	-3.86	1.10	K	
4546.03027	4.83	1.21	K	
4547.03936	0.14	1.09	K	
4600.92698	8.84	1.07	K	
4601.87647	7.50	0.97	K	
4634.78181	8.36	0.94	K	
4666.78904	-4.45	0.30	K	
4667.78945	-1.98	0.29	K	
4671.80264	-2.79	0.30	K	
4672.78558	-1.72	0.30	K	
4673.79754	-2.59	0.29	K	
4675.79484	-2.07	0.51	K	
4701.73724	2.44	0.36	K	
4702.73348	4.02	0.35	K	
4703.73110	-1.75	0.46	K	
4819.16638	1.75	0.37	K	
4820.17627	3.19	0.47	K	
4821.14761	0.74	0.85	K	
4822.14603	-2.32	0.64	K	
4823.16898	0.83	0.38	K	
4873.10516	3.59	0.48	K	
4903.14262	-3.53	0.45	K	
4967.98451	0.49	0.40	K	
4968.97445	0.63	0.74	K	
5021.83208	4.26	0.32	K	
5022.84171	5.41	0.30	K	
5023.74658	3.31	0.30	K	
5024.84232	2.22	0.29	K	
5049.76443	-2.85	0.29	K	
5050.76541	-1.49	0.28	K	
5051.75441	-1.87	0.30	K	
5052.75467	-0.73	0.33	K	
5053.76245	-1.65	0.34	K	
