# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  7 17:00:05 2020
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_msinij:      Planet Mass*sin(i) [Jupiter Mass]
# COLUMN pl_msinijerr1:  Planet Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_msinijerr2:  Planet Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_msinijlim:   Planet Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass]
# COLUMN pl_cmasseerr1:  Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_cmasseerr2:  Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_cmasselim:   Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag
# COLUMN pl_cmassj:      Planet Mass*sin(i)/sin(i) [Jupiter Mass]
# COLUMN pl_cmassjerr1:  Planet Mass*sin(i)/sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_cmassjerr2:  Planet Mass*sin(i)/sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_cmassjlim:   Planet Mass*sin(i)/sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmerr1:      Total Proper Motion Upper Unc [mas/yr]
# COLUMN sy_pmerr2:      Total Proper Motion Lower Unc [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_plxerr1:     Parallax [mas] Upper Unc
# COLUMN sy_plxerr2:     Parallax [mas] Lower Unc
#
pl_name,hostname,default_flag,discoverymethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim,sy_pm,sy_pmerr1,sy_pmerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,15.000000,,,0,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,,,,,,,,,,,,,,,,,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,Mass,0.02,,,0,,,,,,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,46.000000,5.000000,-5.000000,0,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,Mass,0.19,0.02,-0.02,0,68.3315134,0.2231782,-0.2231782,64.3080000,0.6504500,-0.6504500,15.5242000,0.1560790,-0.1560790
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Eclipse Timing Variations,0.920000,0.020000,-0.020000,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,,,,,,,,,,,,,,,,,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,Mass,0.48,0.03,-0.03,0,6.9650162,0.0771526,-0.0771526,396.3320000,6.3885000,-6.3885000,2.4952200,0.0403515,-0.0403515
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,Imaging,,,,,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,,,,,,,,,,,,,,,,,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,Mass,0.08,0.06,-0.06,0,,,,,,,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,230.000000,20.000000,-20.000000,0,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,,,,,,,,,,,,,,,,,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,Mass,0.60,0.05,-0.05,0,69.8897974,0.0595904,-0.0595904,69.5737000,0.1588500,-0.1588500,14.3444000,0.0325696,-0.0325696
30 Ari B b,30 Ari B,1,Radial Velocity,0.990000,0.020000,-0.020000,0,,,,,,,,,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,,,,,,,,,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,Msini,1.93,0.27,-0.27,0,141.8135318,0.0831079,-0.0831079,44.6570000,0.1036500,-0.1036500,22.3641000,0.0515806,-0.0515806
4 UMa b,4 UMa,1,Radial Velocity,0.870000,0.040000,-0.040000,0,,,,,,,,,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0,,,,,,,,,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0,Msini,1.23,0.15,-0.15,0,66.6571379,0.3031445,-0.3031445,73.4603000,1.1860500,-1.1860500,13.5901000,0.2180580,-0.2180580
42 Dra b,42 Dra,1,Radial Velocity,1.190000,0.010000,-0.010000,0,,,,,,,,,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,,,,,,,,,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,Msini,0.98,0.05,-0.05,0,108.2005422,0.3427786,-0.3427786,90.6545000,1.3227000,-1.3227000,11.0061000,0.1596890,-0.1596890
47 UMa b,47 UMa,1,Radial Velocity,2.100000,0.020000,-0.020000,0,,,,,,,,,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,,,,,,,,,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,Msini,1.06,0.13,-0.13,0,322.3708569,0.2031388,-0.2031388,13.7967000,0.0289000,-0.0289000,72.4528000,0.1507010,-0.1507010
47 UMa c,47 UMa,1,Radial Velocity,3.600000,0.100000,-0.100000,0,,,,,,,,,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,,,,,,,,,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,Msini,1.06,0.13,-0.13,0,322.3708569,0.2031388,-0.2031388,13.7967000,0.0289000,-0.0289000,72.4528000,0.1507010,-0.1507010
47 UMa d,47 UMa,1,Radial Velocity,11.600000,2.100000,-2.900000,0,,,,,,,,,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,,,,,,,,,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,Msini,1.06,0.13,-0.13,0,322.3708569,0.2031388,-0.2031388,13.7967000,0.0289000,-0.0289000,72.4528000,0.1507010,-0.1507010
51 Eri b,51 Eri,1,Imaging,12.000000,4.000000,-2.000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.27,-0.27,0,77.7287954,0.1954289,-0.1954289,29.7575000,0.1208000,-0.1208000,33.5770000,0.1354310,-0.1354310
51 Peg b,51 Peg,1,Radial Velocity,0.052700,0.003000,-0.003000,0,,,,,,,,,150.00900,12.39500,-12.39500,0,0.47200,0.03900,-0.03900,0,,,,,,,,,150.00900,12.39500,-12.39500,0,0.47200,0.03900,-0.03900,0,Msini,1.03,0.13,-0.13,0,216.4603396,0.2040787,-0.2040787,15.4614000,0.0297000,-0.0297000,64.6488000,0.1232010,-0.1232010
55 Cnc b,55 Cnc,1,Radial Velocity,0.115227,0.000001,-0.000001,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,,,,,,,,,,,,,,,,,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,Mass,0.95,,,0,539.1329986,0.1295797,-0.1295797,12.5855000,0.0123500,-0.0123500,79.4274000,0.0776646,-0.0776646
55 Cnc c,55 Cnc,1,Radial Velocity,0.241376,0.000026,-0.000026,0,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,,,,,,,,,,,,,,,,,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,Mass,0.95,,,0,539.1329986,0.1295797,-0.1295797,12.5855000,0.0123500,-0.0123500,79.4274000,0.0776646,-0.0776646
55 Cnc d,55 Cnc,1,Radial Velocity,5.503000,0.030000,-0.030000,0,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,,,,,,,,,,,,,,,,,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,Mass,0.95,,,0,539.1329986,0.1295797,-0.1295797,12.5855000,0.0123500,-0.0123500,79.4274000,0.0776646,-0.0776646
55 Cnc e,55 Cnc,1,Radial Velocity,0.015440,0.000090,-0.000090,0,8.08000,0.31000,-0.31000,0,0.02542,0.00098,-0.00098,0,,,,,,,,,,,,,,,,,8.08000,0.31000,-0.31000,0,0.02542,0.00098,-0.00098,0,Mass,0.90,0.12,-0.12,0,539.1329986,0.1295797,-0.1295797,12.5855000,0.0123500,-0.0123500,79.4274000,0.0776646,-0.0776646
55 Cnc f,55 Cnc,1,Radial Velocity,0.788000,0.001000,-0.001000,0,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,,,,,,,,,,,,,,,,,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,Mass,0.95,,,0,539.1329986,0.1295797,-0.1295797,12.5855000,0.0123500,-0.0123500,79.4274000,0.0776646,-0.0776646
6 Lyn b,6 Lyn,1,Radial Velocity,2.110000,0.110000,-0.110000,0,,,,,,,,,638.83830,24.47291,-24.47291,0,2.01000,0.07700,-0.07700,0,,,,,,,,,638.83830,24.47291,-24.47291,0,2.01000,0.07700,-0.07700,0,Msini,1.44,,,0,340.0415405,0.0713171,-0.0713171,54.6599000,0.2734000,-0.2734000,18.2668000,0.0908100,-0.0908100
61 Vir b,61 Vir,1,Radial Velocity,0.050201,0.000005,-0.000005,0,,,,,,,,,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,,,,,,,,,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,Msini,0.94,0.03,-0.03,0,1508.8416272,0.3933829,-0.3933829,8.5033200,0.0173350,-0.0173350,117.5730000,0.2379020,-0.2379020
61 Vir c,61 Vir,1,Radial Velocity,0.217500,0.000100,-0.000100,0,,,,,,,,,18.20000,1.10000,-1.10000,0,0.05700,0.00300,-0.00300,0,,,,,,,,,18.20000,1.10000,-1.10000,0,0.05700,0.00300,-0.00300,0,Msini,0.94,0.03,-0.03,0,1508.8416272,0.3933829,-0.3933829,8.5033200,0.0173350,-0.0173350,117.5730000,0.2379020,-0.2379020
61 Vir d,61 Vir,1,Radial Velocity,0.476000,0.001000,-0.001000,0,,,,,,,,,22.90000,2.60000,-2.60000,0,0.07200,0.00800,-0.00800,0,,,,,,,,,22.90000,2.60000,-2.60000,0,0.07200,0.00800,-0.00800,0,Msini,0.94,0.03,-0.03,0,1508.8416272,0.3933829,-0.3933829,8.5033200,0.0173350,-0.0173350,117.5730000,0.2379020,-0.2379020
7 CMa b,7 CMa,1,Radial Velocity,1.758000,0.024000,-0.001000,0,,,,,,,,,587.98550,19.06980,-12.71320,0,1.85000,0.06000,-0.04000,0,587.986,19.070,-19.070,0,1.85000,0.06000,-0.06000,0,587.98550,19.06980,-19.06980,0,1.85000,0.06000,-0.06000,0,Msin(i)/sin(i),1.34,0.11,-0.12,0,95.6229309,0.5996784,-0.5996784,19.8101000,0.1648000,-0.1648000,50.4571000,0.4167750,-0.4167750
7 CMa c,7 CMa,1,Radial Velocity,2.153000,0.003000,-0.080000,0,,,,,,,,,276.51210,19.06980,-19.06980,0,0.87000,0.06000,-0.06000,0,276.512,19.070,-19.070,0,0.87000,0.06000,-0.06000,0,276.51210,19.06980,-19.06980,0,0.87000,0.06000,-0.06000,0,Msin(i)/sin(i),1.34,0.11,-0.12,0,95.6229309,0.5996784,-0.5996784,19.8101000,0.1648000,-0.1648000,50.4571000,0.4167750,-0.4167750
70 Vir b,70 Vir,1,Radial Velocity,0.481000,0.022000,-0.022000,0,,,,,,,,,2357.02728,18.11631,-18.11631,0,7.41600,0.05700,-0.05700,0,,,,,,,,,2357.02728,18.11631,-18.11631,0,7.41600,0.05700,-0.05700,0,Msini,1.09,,,0,622.5685118,0.2600473,-0.2600473,17.9011000,0.0558500,-0.0558500,55.8347000,0.1729970,-0.1729970
75 Cet b,75 Cet,1,Radial Velocity,2.100000,,,0,,,,,,,,,953.49000,,,0,3.00000,,,0,,,,,,,,,953.49000,,,0,3.00000,,,0,Msini,2.49,0.02,-0.27,0,38.5643962,0.1822653,-0.1822653,82.9613000,0.7236500,-0.7236500,12.0264000,0.1043500,-0.1043500
8 UMi b,8 UMi,1,Radial Velocity,0.490000,0.020000,-0.020000,0,,,,,,,,,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,,,,,,,,,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,Msini,1.44,0.19,-0.19,0,13.2836055,0.0532098,-0.0532098,162.5520000,0.6485000,-0.6485000,6.1230400,0.0243553,-0.0243553
81 Cet b,81 Cet,1,Radial Velocity,2.500000,,,0,,,,,,,,,1684.40000,,,0,5.30000,,,0,,,,,,,,,1684.40000,,,0,5.30000,,,0,Msini,2.40,0.10,-0.40,0,60.3912853,0.1937107,-0.1937107,101.2600000,1.2220000,-1.2220000,9.8489500,0.1182790,-0.1182790
91 Aqr b,91 Aqr,1,Radial Velocity,0.700000,,,0,,,,,,,,,1017.00000,,,0,3.20000,,,0,,,,,,,,,1017.00000,,,0,3.20000,,,0,Msini,1.40,0.10,-0.10,0,368.7717896,0.4896693,-0.4896693,44.0304000,0.5132500,-0.5132500,22.6884000,0.2627240,-0.2627240
AB Pic b,AB Pic,1,Imaging,260.000000,,,0,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,,,,,,,,,,,,,,,,,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,Mass,,,,,47.2979730,0.0630364,-0.0630364,50.0475000,0.0734000,-0.0734000,19.9521000,0.0290851,-0.0290851
AU Mic b,AU Mic,1,Transit,0.066000,0.007000,-0.006000,0,,,,,,,,,57.20940,,,1,0.18000,,,1,,,,,,,,,57.20940,,,1,0.18000,,,1,Msini,0.50,0.03,-0.03,0,456.8630854,0.0628010,-0.0628010,9.7221000,0.0046250,-0.0046250,102.8290000,0.0485613,-0.0485613
